КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0032434;ИП Саликов А.Ю. (г. Тобольск);231,92;1578,77;1346,85;231,92;0,073838;6;87,7;158,47;31;17;6,4344
К0032523;Неолит;1719,17;19572,22;17853,05;1719,17;3,525105;28;177,2769;50,45;4663;172;182,5968
К0032695;Куклин (г. Ханты-Мансийск);4972,01;27242,1;22270,09;4972,01;3,86806;25;140,8214;49,13;551;92;421,1244
К0032725;Альтаир (г.Тюмень);75,31;874,84;799,53;75,31;0,104209;3;0;0;3;3;1,07
К0032732;Гринком;71,21;2004,8;1933,59;71,21;0,104316;3;20,74;0;38;15;75,8196
К0032815;ООО «ЦМИК»;-316,52;2109,53;2426,05;-316,52;0,308092;13;482,6625;520,83;64;57;40,3132
К0032823;"ООО ""Айстор"" (г. Тюмень)";1680,72;4050,78;2370,06;1680,72;0,141512;1;0;0;1;1;0
К0033108;ДФ-Центр;-26,69;786,08;812,77;-26,69;0,009883;4;32,715;0;17;9;30,052
К0033120;"ООО ""ИНТЕКСА+""";436,98;10715,36;10278,38;436,98;1,523382;8;369,8724;0;77;17;134,6512
К0033453;Связьсервискомплект;440,3;1432,7;992,4;440,3;0,287695;2;0;0;210;26;0
К0033545;Промэлектроника;353,93;944,26;590,33;353,93;0,304519;2;0;0;9;4;37,7704
К0033695;ИП Рыбаков Алексей Петрович;-4,62;112,25;116,87;-4,62;0,000765;1;2,8765;0;2;2;4,49
К0033821;Статик;57,23;4325,9;4268,67;57,23;0,263535;6;58,7712;0;166;60;149,834
К0033836;Частное лицо Пермь-2;-22069,56;16781,44;38851;-22069,56;6,379809;79;5054,1265;21788,16;1160;254;79,2864
К0033944;Максидом;9574,65;70288,71;60714,06;9611,04;46,337757;12;184,3257;124,83;710;267;0
К0034247;Компьютинг;36,12;298,79;262,67;36,12;0,013009;2;0,0941;0;10;5;11,9516
К0034525;ИП Чуманов;69,12;231,87;162,75;69,12;0,035712;2;0;0;26;3;0
К0034811;ООО «АВ трэйд»;1179,81;9774,68;8594,87;1179,81;1,047481;2;0;0;8;4;225,8
К0034823;Вайтал-Групп;55,71;3733,4;3677,69;55,71;0,32299;6;39,2101;0;66;20;87,344
К0034859;Индивидуальный предприниматель Дятко Арсений Васильевич;-4,05;238,15;242,2;-4,05;0,058464;1;8,2375;0;7;6;9,526
К0034883;ПолиКом-А;179,52;1628,92;1449,4;179,52;0,11943;11;7,685;0;22;19;44,7428
К0035083;Прологика;-21,78;269,5;291,28;-21,78;0,004323;2;20,005;115,22;4;3;10,78
К0035126;Урал;47,4;123,32;75,92;47,4;0,00324;1;0;0;40;1;0
К0035175; Оргсити;257,01;4155,07;3898,06;257,01;0,27541;11;6,1794;0;18;11;8,8216
К0035191;Интернет магазин TU66.ru;1480,2;8316,24;6836,04;1480,2;7,06588;24;1,7677;0;25;25;0
К0035211;Сфера (г.Тюмень);87,42;1950,26;1862,84;87,42;0,337174;9;47,8024;0;37;22;47,9064
